"Wavelength (nm),Absorbance (AU),Std.Dev."
"190,0.201666831970215,1.9677576864289"
"191,0.20073413848877,0.938866192043627"
"192,-0.0495266914367676,0.279985765367802"
"193,-0.00630760192871094,0.205026965344939"
"194,0.269362926483155,0.58712120018863"
"195,-0.453476428985596,1.20715133909082"
"196,-0.296424865722656,0.579258812176712"
"197,0.327364921569824,0.321661365313814"
"198,0.0615396499633789,0.623790333271375"
"199,0.207274913787842,0.318179588805476"
"200,0.297879695892334,0.3058995324053"
"201,-0.0589313507080078,0.557718939107381"
"202,0.637632369995117,0.493348704605513"
"203,-0.158861637115479,0.537872327439329"
"204,0.049921989440918,0.306833388853992"
"205,0.413410186767578,0.410602435881185"
"206,-0.0227527618408203,0.267670775474217"
"207,0.633747577667237,0.568731756232123"
"208,1.15264129638672,0.996958876761286"
"209,0.248815536499024,0.460017951946749"
"210,0.349028587341309,0.0747134137387985"
"211,0.236865997314453,0.0618452104470251"
"212,0.214890480041504,0.0450451031461118"
"213,0.395299911499024,0.0244201652528762"
"214,0.275472640991211,0.0151912568080827"
"215,0.307544231414795,0.011705072686525"
"216,0.310665130615235,0.00942909212295076"
"217,0.294551372528076,0.00489985353362858"
"218,0.297836780548096,0.0030517578125"
"219,0.295278549194336,0.0022364408972679"
"220,0.292372703552246,0.00207356781812315"
"221,0.285645008087158,0.00148524541180863"
"222,0.281626224517822,0.00160050077834404"
"223,0.274073600769043,0.00156415613143793"
"224,0.264809608459473,0.00160877140540738"
"225,0.257436275482178,0.00134744697825661"
"226,0.243039131164551,0.000969818791770021"
"227,0.232642650604248,0.00116019487958874"
"228,0.222384452819824,0.000996154708493009"
"229,0.209305763244629,0.000733692338877644"
"230,0.198814868927002,0.00081673728583207"
"231,0.186976909637451,0.000575134406079142"
"232,0.172682762145996,0.0006899331120008"
"233,0.161913871765137,0.000587847200323373"
"234,0.149179458618164,0.000464634198451251"
"235,0.137968063354492,0.000457055816132801"
"236,0.125784873962403,0.00047584430326882"
"237,0.113822937011719,0.000507928051089636"
"238,0.10233736038208,0.000538210390587055"
"239,0.0906453132629395,0.000447768118579738"
"240,0.0794734954833985,0.000463999553667552"
"241,0.0686116218566895,0.000441154524247659"
"242,0.0590686798095703,0.000397260016427074"
"243,0.0505218505859375,0.000408021060939422"
"244,0.041438102722168,0.000347755217797437"
"245,0.0328636169433594,0.000367846413263701"
"246,0.0255470275878906,0.000300877823436142"
"247,0.0183162689208985,0.000295583658261269"
"248,0.0115265846252442,0.000418661938711508"
"249,0.0051722526550293,0.000384499912565131"
"250,0.000514030456542969,0.000284444456211964"
"251,-0.00496101379394531,0.000286692963270156"
"252,-0.00932407379150391,0.000262653749485668"
"253,-0.0135612487792969,0.000316349741590358"
"254,-0.0176591873168946,0.000301306755866797"
"255,-0.0198869705200196,0.000323333569212036"
"256,-0.0233488082885742,0.000298784808762466"
"257,-0.024958610534668,0.000352936813544323"
"258,-0.0272846221923828,0.000394327896772108"
"259,-0.0294885635375977,0.000361260088752699"
"260,-0.0305614471435547,0.000449155292486311"
"261,-0.031982421875,0.00052691174843802"
"262,-0.0322175025939942,0.000593586997351228"
"263,-0.0333132743835449,0.000423809260946162"
"264,-0.0342707633972168,0.000380294898068754"
"265,-0.034358024597168,0.000472976313154986"
"266,-0.0350608825683594,0.000522279284440554"
"267,-0.0353760719299317,0.000521107752846332"
"268,-0.0349364280700684,0.000509244225578186"
"269,-0.0359001159667969,0.000609492651268044"
"270,-0.0360298156738281,0.000385133317077014"
"271,-0.0359954833984375,0.000377655029296875"
"272,-0.0364122390747071,0.000500569104437389"
"273,-0.0347108840942383,0.000621058020673666"
"274,-0.0353331565856934,0.000606632824870341"
"275,-0.0353732109069824,0.000555008956282752"
"276,-0.0344734191894531,0.000563930452627564"
"277,-0.0356197357177735,0.00048322593857531"
"278,-0.0347418785095215,0.000503453333932445"
"279,-0.0356745719909668,0.000459429570649802"
"280,-0.0343718528747559,0.000567198150445446"
"281,-0.0346331596374512,0.000464391412156165"
"282,-0.0343642234802246,0.000414478751238812"
"283,-0.0345978736877442,0.000454501609044767"
"284,-0.0341639518737793,0.000444481807386897"
"285,-0.0334057807922363,0.0003884253558764"
"286,-0.0341629981994629,0.000262411247587888"
"287,-0.0328869819641113,0.000264523882429549"
"288,-0.0335407257080078,0.000316079379271019"
"289,-0.0328497886657715,0.000428224193326656"
"290,-0.0330662727355957,0.000354274284763464"
"291,-0.0328831672668457,0.000355258723715021"
"292,-0.0331830978393555,0.000369523878180261"
"293,-0.0326175689697266,0.000325911133947057"
"294,-0.0323400497436524,0.000319376971294484"
"295,-0.0323829650878906,0.000300883868983496"
"296,-0.032649040222168,0.000327270123994824"
"297,-0.0321564674377442,0.000420361637900105"
"298,-0.0313577651977539,0.000519905592744408"
"299,-0.0315332412719727,0.000433803374506516"
"300,-0.031639575958252,0.000361994470443187"
"301,-0.0314979553222656,0.000415906980368924"
"302,-0.030792236328125,0.000441319423339221"
"303,-0.0312166213989258,0.000328451858794402"
"304,-0.0314450263977051,0.000354869376512382"
"305,-0.0300507545471192,0.000310687128295597"
"306,-0.0300765037536621,0.000350121884325677"
"307,-0.0298795700073242,0.000394678320359826"
"308,-0.0296354293823242,0.000393561412857939"
"309,-0.0295686721801758,0.000364068839448777"
"310,-0.0299973487854004,0.000479932276672662"
